address,alt_addr,canonical_addr,used,type,class_,icon,latitude,longitude,found_country,country_code,country_name
"Kensington,Palace,London,England",,,1,,,,51.505099,-0.1876332,True,GB,England
"Osborne House,Isle of Wight,England",,,1,,,,50.7505772,-1.2700819,True,GB,England
"Royal Mausoleum,Frogmore,Berkshire,England",,,1,,,,51.4740424,-0.5982796,True,GB,England
"Schloss Rosenau,Near Coburg,Germany",,,1,,,,51.1638175,10.4478313,True,DE,Germany
"Windsor Castle,Berkshire,England",,,1,,,,51.4837886,-0.6040419,True,GB,England
"Royal Masoleum,Frogmore,Windsor,England",,,1,,,,51.4756084,-0.597552,True,GB,England
"Buckingham,Palace,London,England",,,1,,,,51.4987752,-0.1412257,True,GB,England
"Throne Room,Buckingham Palac,England",,,1,,,,51.5008349,-0.1430045,True,GB,England
"Friedrichshof,Near,Kronberg,Taunus","Schlosshotel Kronberg (Friedrichshof), France","friedrichs, hof, france",1,,,,50.1797,8.5086,True,FR,France
"Friedenskirche,Potsdam","Friedenskirche, Germany","friedenskirche, germany",1,,,,52.4012197,13.0435766,True,DE,Germany
"Windsor,Berkshire,England",,,1,,,,51.4837886,-0.6040419,True,GB,England
"Darmstadt,,,Germany",,,1,,,,49.872775,8.651177,True,DE,Germany
"Schloss Rosenau,Near Coburg","Schloss Rosenau, Rödental, Bavaria, Germany","rodental, bavaria, germany",1,,,,50.299,11.027,True,DE,Germany
"Schomberg House,Pall Mall,London,England",,,1,,,,51.5064356,-0.1346766,True,GB,England
"Frogmore,,,England",,,1,,,,51.7190385,-0.3355844,True,GB,England
"Bagshot Park,Surrey","Bagshot Park, England","bagshot park, england, England",1,,,,51.3713392,-0.6931222,True,GB,England
Cannes,"Cannes, France","cannes, france",1,,,,43.5515198,7.0134418,True,FR,France
"Bantridge Park,Balcombe,Sussex,England",,,1,,,,51.0573017,-0.1329998,True,GB,England
"Yellow Palace,Copenhagen,Denmark",,,1,,,,55.6867243,12.5700724,True,DK,Denmark
"Sandringham,,Norfolk,England",,,1,,,,52.8427652,0.4318137,True,GB,England
"St. George Chap.,Windsor,Berkshire,England",,,1,,,,51.4837886,-0.6040419,True,GB,England
"Frogmore House,Windsor,Berkshire,England",,,1,,,,51.4743933,-0.5944637,True,GB,England
"Marlborough Hse,London,England",,,1,,,,51.504975,-0.1360297,True,GB,England
"Windsor Castle,St. George Chap.,Berkshire,England",,,1,,,,51.4534889,-1.031873,True,GB,England
"Marlborough,House,London,England",,,1,,,,51.5704927,-0.0953269,True,GB,England
"Portman Square,London,England",,,1,,,,51.5153798,-0.1546919,True,GB,England
"Coppins,Iver,Bucks,England",,,1,,,,51.7834994,-0.8946441,True,GB,England
"London,England",,,1,,,,51.4893335,-0.1440551,True,GB,England
"Neues Palais,Potsdam,Germany",,,1,,,,52.4013836,13.0158969,True,DE,Germany
"Friedenskirche,Potsdam,Germany",,,1,,,,52.4012197,13.0435766,True,DE,Germany
"Berlin,Germany",,,1,,,,52.510885,13.3989367,True,DE,Germany
"Haus Doorn,Netherlands",,,1,,,,52.030836,5.3445416,True,NL,Netherlands
Arolsen,"Arolsen, Germany","arolsen, germany",1,,,,51.3649894,9.0376388,True,DE,Germany
Tyrol,"Tyrol, Austria","tyrol, austria",1,,,,47.223193,11.5261028,True,AT,Austria
"Whippingham Ch.,Isle of Wight,England",,,1,,,,50.740502,-1.2703607,True,GB,England
Lausanne,"Lausanne, Switzerland","lausanne, switzerland",1,,,,46.5218269,6.6327025,True,CH,Switzerland
"St. George's,Chapel,Windsor Castle,England",,,1,,,,51.4837886,-0.6040419,True,GB,England
"White Lodge,Richmond Park,Surrey,England",,,1,,,,51.3368965,-0.3008938,True,GB,England
"Paris,,,France",,,1,,,,48.8534951,2.3483915,True,FR,France
"York Cottage,Sandringham,Norfolk,England",,,1,,,,52.8262326,0.5162681,True,GB,England
"St. George Chap.,,Windsor,England",,,1,,,,51.4837886,-0.6040419,True,GB,England
"Harewood House,Yorkshire,,England",,,1,,,,53.8948932,-1.5287425,True,GB,England
"Morven,,,Scotland",,,1,,,,58.233703,-3.6957832,True,GB,Scotland
"Wood Farm,Wolferton,Norfolk,England",,,1,,,,52.8293207,0.4625821,True,GB,England
"Tsarskoye Selo,Pushkin,,Russia","Pushkin, Russia","pushkin, russia",1,,,,59.7205467,30.4069376,True,NONE,
"Ekaterinburg,,,Russia","Yekaterinburg, Russia","yekaterinburg, russia",1,,,,56.839104,60.60825,True,NONE,
"Livadia,Crimea,Near Yalta,Russia","Livadia, Crimea","livadia, crimea",1,,,,44.4826,34.1505,False,,
"Cathedral of the,Fortress of P&P,St. Petersburg,Russia","Peter and Paul Cathedral, St Petersburg, Russia","cathedral street, petersburg, russia",1,,,,59.938732,30.316229,True,NONE,
"Copenhagen,,,Denmark",,,1,,,,55.6867243,12.5700724,True,DK,Denmark
"Alexander Palace,Tsarskoe Selo,,Russia","Alexander Palace, Tsarskoye Selo (Pushkin), Saint Petersburg, Russia","tsarskoye selo pushkin, saint petersburg, russia",1,,,,59.721,30.3957,True,NONE,
"Peterhof,Near,St. Petersburg,Russia","Peterhof, Russia","peter hof, russia",1,,,,59.9372321,30.2046418,True,NONE,
"17 Bruton St.,London,W1,England",,,1,,,,51.5074456,-0.1277653,True,GB,England
"Glamis Castle,,Angus,Scotland",,,1,,,,56.620378,-3.0019917,True,GB,Scotland
"Isle of Kerkira,Mon Repos,Corfu,Greece",,,1,,,,39.6062313,19.9261335,True,GR,Greece
"Buckingham,Palace,Music Room,England",,,1,,,,53.4011337,-2.9690906,True,GB,England
"Clarence House,St. James,,England",,,1,,,,51.1323289,0.2605632,True,GB,England
",,,England",,,1,,,,52.5310214,-1.2649062,True,GB,England
"Belgian Suite,Buckingham,Palace,England",,,1,,,,51.4987752,-0.1412257,True,GB,England
"St. Mary's Hosp.,Paddington,London,England",,,1,,,,51.517434,-0.1743245,True,GB,England
"Music Room,Buckingham,Palace,England",,,1,,,,51.4987752,-0.1412257,True,GB,England
"Park House,Sandringham,Norfolk,England",,,1,,,,52.8278528,0.5059864,True,GB,England
"Athens,Greece",,,1,,,,37.9755648,23.7348324,True,GR,Greece
"Kensington,Palace,,England",,,1,,,,51.505099,-0.1876332,True,GB,England
"3 Belgrave Sq.,,England",,,1,,,,51.5001785,-0.1543078,True,GB,England
",,,U.S.A.",,,1,,,,39.7837304,-100.445882,True,NONE,
"Charlottenlund,Denmark",,,1,,,,55.7552973,12.5671103,True,DK,Denmark
"Potsdam,Germany",,,1,,,,52.4009309,13.0591397,True,DE,Germany
"Frankfurt,Germany",,,1,,,,50.1106444,8.6820917,True,DE,Germany
"Tatoi,Near Athens,Greece",,,1,,,,37.8806976,23.9290924,True,GR,Greece
"Alapayevsk,Ural Mts.,,Russia","Alapayevsk, Russia","alapayevsk, russia",1,,,,64.6863136,97.7453061,True,NONE,
"Hesse-Darmstadt,Palace,,Germany",,,1,,,,52.5192592,13.2986637,True,DE,Germany
"Hadley Common,Hertfordshire,England",,,1,,,,51.8400523,-0.0978552,True,GB,England
"Private Chapel,Windsor Castle,Berkshire,England",,,1,,,,51.4837886,-0.6040419,True,GB,England
"Near,Wolverhampton,England",,,1,,,,52.5847651,-2.127567,True,GB,England
Barnwell Church,"Barnwell Church, Northamptonshire, England","england, England",1,,,,52.3975,-0.5324,True,GB,England
"St. Petersburg,,,Russia","Saint Petersburg, Russia","saint petersburg, russia",1,,,,59.938732,30.316229,True,NONE,
"Zurich,,,Switzerland",,,1,,,,47.3744489,8.5410422,True,CH,Switzerland
"Eastwell Park,Kent,England",,,1,,,,51.2786846,0.5375244,True,GB,England
"Castle Pelesch,Sinaia,Romania",,,1,,,,45.3454687,25.5481055,True,RO,Romania
Malta,,,1,,,,35.8885993,14.4476911,True,MT,Malta
"Donegal Bay,County Sligo,Ireland",,,1,,,,54.1929861,-8.7305427,True,IE,Ireland
"Coppins,,England",,,1,,,,51.5258257,-0.5092749,True,GB,England
"Thatched House,Lodge,,England",,,1,,,,51.3114688,0.1281046,True,GB,England
"Thatched House,Lodge,Richmond Park,England",,,1,,,,51.413123,-0.3123367,True,GB,England
"Kings College,Hospital,Denmark Hill","Kings College, England",England,1,,,,51.468043,-0.0896031,True,GB,England
Potsdam,"Potsdam, Germany","potsdam, germany",1,,,,52.4009309,13.0591397,True,DE,Germany
"Clarence House,London,,England",,,1,,,,51.5039837,-0.1384107,True,GB,England
Bagshot Park,"Bagshot Park, England","bagshot park, england, England",1,,,,51.3674201,-0.6939678,True,GB,England
"Stockholm,Sweden",,,1,,,,59.3251172,18.0710935,True,SE,Sweden
Helsingborg,"Helsingborg, Denmark","helsingborg, denmark",1,,,,56.0442098,12.703706,True,DK,Denmark
"Royal Cemetery,Haga Castle Park","Royal Cemetery, Haga Castle Park, Stockholm, Sweden","stockholm, sweden",1,,,,59.3686,18.0372,True,SE,Sweden
"Mar Lodge,Braemar,Aberdeenshire,England",,,1,,,,57.05529,-2.1163757,True,GB,England
Paris,"Paris, France","paris, france",1,,,,48.8534951,2.3483915,True,FR,France
"Castle Rising,Norfolk,England",,,1,,,,52.7969167,0.4673371,True,GB,England
"Grey Friars,Church,London,England",,,1,,,,51.2189247,1.3784493,True,GB,England
"Norfolk-House,St. James Square,London,England",,,1,,,,50.6995104,-1.2952483,True,GB,England
"Windsor Castle,Windsor,Berkshire,England",,,1,,,,51.4837886,-0.6040419,True,GB,England
"St. George Chap.,Windsor Castle,Berkshire,England",,,1,,,,51.4837886,-0.6040419,True,GB,England
Mirow,"Mirow, Germany","mirow, germany",1,,,,53.2851568,12.847677,True,DE,Germany
Kew Palace,"Kew Palace, England",England,1,,,,51.4838317,-0.2950549,True,GB,England
"Buckingham House,,London,England",,,1,,,,51.4404664,0.0810511,True,GB,England
"Sidmouth,Devon,,England",,,1,,,,50.6790033,-3.237657,True,GB,England
Coburg,"Coburg, Germany","coburg, germany",1,,,,50.2582226,10.964561,True,DE,Germany
"Frogmore House,Windsor,,England",,,1,,,,51.4743933,-0.5944637,True,GB,England
Thuringia,"Thuringia, Germany","thuringia, germany",1,,,,50.9014721,11.0377839,True,DE,Germany
Carlton House,"Carlton House, Pall Mall, Westminster, London, England","pall mall, london, england, England",1,,,,51.50665,-0.13268,True,GB,England
"Claremont House,Esher,Surrey,England",,,1,,,,51.3693938,-0.365415,True,GB,England
"Fortress of,Peter and Paul,,Russia","Peter and Paul Fortress, Russia",russia,1,,,,59.9500646,30.311686,True,NONE,
"Abbas Tuman,Caucasus,Russia","Abbas Tuman, Russia","tuman, russia",1,,,,43.345,42.44,True,NONE,
"Peter and Paul,Cathedral,,Russia","Peter and Paul, Russia","peter androna, paul, russia",1,,,,55.7445242,37.6055105,True,NONE,
"Perm,,,Russia","Perm, Russia","perm, russia",1,,,,58.014965,56.246723,True,NONE,
"East Toronto,Ontario,,Canada",,,1,,,,43.6901603,-79.3250179,True,CA,Canada
"York Cemetery,Toronto,Ontario,Canada",,,1,,,,43.7642978,-79.4245953,True,CA,Canada
Switzerland,,,1,,,,46.7985624,8.2319736,True,CH,Switzerland
"27 Welbech St.,Marylebone,London,England",,,1,,,,51.5196374,-0.1519627,True,GB,England
Birkhall,"Birkhall, Scotland","birkhall, scotland, Scotland",1,,,,57.028846,-3.074175,True,GB,Scotland
"St. James Palace,London,England",,,1,,,,51.5045329,-0.1377553,True,GB,England
"Rutland House,Arlington St.,London,England",,,1,,,,51.5071834,-0.1410021,True,GB,England
"Buckingham House,St. James Park,London,England",,,1,,,,51.4992816,-0.1345942,True,GB,England
Ludwigsburg,"Ludwigsburg, Germany","ludwigsburg, germany",1,,,,48.8953937,9.1895147,True,DE,Germany
Buckingham House,"Buckingham House, England",England,1,,,,51.5694535,-0.0955147,True,GB,England
"Clarence House,St. James","Clarence House, England",England,1,,,,51.1323289,0.2605632,True,GB,England
"Frankfurt,-am-Main","Frankfurt am Main, Germany","frankfurt am main, germany",1,,,,50.0877734,8.5853242,True,DE,Germany
Herrenhausen,"Herrenhausen, Germany","herrenhausen, germany",1,,,,52.407334,9.675882,True,DE,Germany
Kensington Palac,"Kensington Palace, London, England","london, england, England",1,,,,51.5059,-0.1883,True,GB,England
"Gloucester House,Piccadilly,London,England",,,1,,,,51.5039979,-0.1492301,True,GB,England
"Vicarage Place,Kensington","Vicarage Place, England","vicarage place england, England",1,,,,51.4989948,-0.1991229,True,GB,England
"Royal Lodge,Windsor,Berkshire,England",,,1,,,,51.4390038,-0.6067267,True,GB,England
"Augusta Lodge,Windsor,Berkshire,England",,,1,,,,51.4837886,-0.6040419,True,GB,England
Meiningen,"Meiningen, Germany","meiningen, germany",1,,,,50.56761,10.4153029,True,DE,Germany
"Near Stanmore,Middlesex,England",,,1,,,,51.5460558,-0.2537791,True,GB,England
"Furstenhof,Hanover","Furstenhof, Germany","fursten, hof, germany",1,,,,52.3716259,9.7288366,True,DE,Germany
St. James Palac,"St. James Palac, England",England,1,,,,51.5045329,-0.1377553,True,GB,England
Bushy Park,"Bushy Park, England","bushy park, england, England",1,,,,51.4168626,-0.3370444,True,GB,England
Gottorp,"Gottorp, Sweden","gottorp, sweden",1,,,,58.5649996,15.4716503,True,SE,Sweden
Amalienborg,"Amalienborg, Denmark","amalienborg, denmark",1,,,,55.6839601,12.5930781,True,DK,Denmark
"Roskilde,Denmark",,,1,,,,55.6433478,12.0819247,True,DK,Denmark
Cassel,"Kassel, Germany","kassel, germany",1,,,,51.3157833,9.4978479,True,DE,Germany
Bernstorff,"Bernstorff, Denmark","bernstorff, denmark",1,,,,55.7584315,12.5523479,True,DK,Denmark
Salonika,"Thessaloniki, Greece","thessaloniki, greece",1,,,,4.631736,-74.0747515,True,GR,Greece
Tatoi,"Tatoi, Greece","tatoi, greece",1,,,,38.067669,23.7577148,True,GR,Greece
"Lausanne,Switzerland",,,1,,,,46.5218269,6.6327025,True,CH,Switzerland
"Schloss,Heiligenberg","Schloss, France",France,1,,,,47.8168027,9.309977,True,FR,France
England,,,1,,,,52.5310214,-1.2649062,True,GB,England
"Palermo,Italy",,,1,,,,38.1112268,13.3524434,True,IT,Italy
Ostende,"Ostende, Belgium","ostende, belgium",1,,,,51.2258565,2.919496,True,BE,Belgium
"Laeken,Belgium",,,1,,,,50.883392,4.3487134,True,BE,Belgium
"Hanover,Germany",,,1,,,,52.3744779,9.7385532,True,DE,Germany
Hanover,"Hanover, Germany","hanover, germany",1,,,,52.3744779,9.7385532,True,DE,Germany
Hildburghausen,"Hildburghausen, Germany","hildburghausen, germany",1,,,,50.4266327,10.7300263,True,DE,Germany
"Gmunden,Austria",,,1,,,,47.9185855,13.8003048,True,AT,Austria
Gmunden,"Gmunden, Austria","gmunden, austria",1,,,,47.9185855,13.8003048,True,AT,Austria
"Caernarvon,Castle,Wales",,,1,,,,51.6247029,-3.9454009,True,GB,Wales
"Berkeley Castle,Gloucestershire","Berkeley Castle, England",England,1,,,,51.6888596,-2.456937,True,GB,England
"Gloucester,Cathedral","Gloucester, England","gloucester, england, England",1,,,,51.8673376,-2.2467498,True,GB,England
"Sigmaringen,Germany",,,1,,,,48.0869139,9.2165039,True,DE,Germany
"Sinaia,Romania",,,1,,,,45.3454687,25.5481055,True,RO,Romania
"Barnwell Church,,England",,,1,,,,52.2161562,0.1628335,True,GB,England
"St. Marys Hosp.,Paddington,England",,,1,,,,51.5161629,-0.1744856,True,GB,England
Czechoslovakia,"czechoslovakia, Poland","czechoslovakia, poland",1,,,,49.7439047,15.3381061,True,PL,Poland
"Chapel Royal,St. James Palace,England",,,1,,,,51.5045329,-0.1377553,True,GB,England
"Herrenhausen,Palace,Hannover,Germany",,,1,,,,52.3909854,9.6972057,True,DE,Germany
"Westminster,Abbey,London,England",,,1,,,,51.4981579,-0.1319441,True,GB,England
"Leicester-House,,London,England",,,1,,,,51.4676401,-0.1057857,True,GB,England
The Hague,"The Hague, Netherlands","the hague, netherlands",1,,,,52.0799838,4.3113461,True,NL,Netherlands
"Cavendish Square,,London,England",,,1,,,,51.5164887,-0.1450325,True,GB,England
"St. James Palace,,,England",,,1,,,,51.5045329,-0.1377553,True,GB,England
Leicester House,"Leicester House, England",England,1,,,,51.4676401,-0.1057857,True,GB,England
Hanau,"Hanau, France","hanau, france",1,,,,50.132881,8.9169797,True,FR,France
"Leicester House,London,England",,,1,,,,51.4676401,-0.1057857,True,GB,England
"Christiansborg,Denmark",,,1,,,,55.6756505,12.5800406,True,DK,Denmark
Gotha,"Gotha, Germany","gotha, germany",1,,,,50.9494849,10.7014435,True,DE,Germany
Norfolk House,"Norfolk House, England",England,1,,,,51.5073666,-0.1334353,True,GB,England
Monaco,,,1,,,,43.7323492,7.4276832,True,MC,Monaco
Gloucester House,"Gloucester House, England",England,1,,,,53.4701954,-0.0158088,True,GB,England
Celle,"Celle, Germany","celle, germany",1,,,,52.624056,10.081052,True,DE,Germany
"Leineschloss,Osnabruck,Hanover,Germany",,,1,,,,52.3744779,9.7385532,True,DE,Germany
Osnabruck,"Osnabrück, Germany","osnabruck, germany",1,,,,52.2719595,8.047635,True,DE,Germany
"Moved in 1957 to,Herrenhausen","Herrenhausen, Germany","herrenhausen, germany",1,,,,52.407334,9.675882,True,DE,Germany
"Monbijou Palace,,Berlin,Germany",,,1,,,,52.510885,13.3989367,True,DE,Germany
Christiansborg,"Christiansborg, Denmark","christiansborg, denmark",1,,,,55.6756505,12.5800406,True,DK,Denmark
Dolzig,"Dolzig, Poland","dolzig, poland",1,,,,51.9866,17.0653695,True,PL,Poland
",,Portugal",,,1,,,,39.6621648,-8.1353519,True,PT,Portugal
"Aachen,West Germany","Aachen, Germany","aachen, germany",1,,,,51.132302,6.4107342,True,DE,Germany
Greiz,"Greiz, Germany","greiz, germany",1,,,,50.7783814,12.0763533,True,DE,Germany
"Frankfurt an der,Oder","Frankfurt (Oder), Germany","frankfurt oder, germany",1,,,,52.3365359,14.5466945,True,DE,Germany
"San Ildefonso,,Spain",,,1,,,,41.3632004,2.0833386,True,ES,Spain
"Madrid,,Spain",,,1,,,,40.4167047,-3.7035825,True,ES,Spain
Pelesch,"pelesch, Russia","pelesch, russia",1,,,,45.3601,25.5426,True,NONE,
"Cannes,France",,,1,,,,43.5515198,7.0134418,True,FR,France
"Villa Mar y Sol,Estoril,Portugal",,,1,,,,38.7095707,-9.3901368,True,PT,Portugal
"Appleton House,Sandringham,Norfolk,England",,,1,,,,52.8427652,0.4318137,True,GB,England
Norway,,,1,,,,61.1529386,8.7876653,True,NO,Norway
"Skaugum,Near Oslo,Norway",,,1,,,,61.1529386,8.7876653,True,NO,Norway
"Drottningholm,Near Stockholm,Sweden",,,1,,,,59.3294531,18.0672982,True,SE,Sweden
Karlsruhe,"Karlsruhe, Germany","karlsruhe, germany",1,,,,49.0068705,8.4034195,True,DE,Germany
"Rome,Italy",,,1,,,,41.8933203,12.4829321,True,IT,Italy
Biebrich,"Biebrich, France","biebrich, france",1,,,,50.3030289,7.9544958,True,FR,France
"Pelesch,Sinaia,Romania",,,1,,,,45.3454687,25.5481055,True,RO,Romania
"Blankenburg,Harz,Germany",,,1,,,,51.7902676,10.9551991,True,DE,Germany
Psychiko,"Psychiko, Greece","psychiko, greece",1,,,,38.0130854,23.772085,True,GR,Greece
"Venice,Italy",,,1,,,,45.4371908,12.3345898,True,IT,Italy
Belgrade,"Belgrade, Russia","belgrade, russia",1,,,,44.8178131,20.4568974,True,NONE,
"Fontainebleau,France",,,1,,,,48.4049375,2.7015872,True,FR,France
"Germain-en-Laye,France",,,1,,,,48.8990413,2.0942792,True,FR,France
"St. Denis,France",,,1,,,,48.935773,2.3580232,True,FR,France
Berlin,"Berlin, Germany","berlin, germany",1,,,,52.510885,13.3989367,True,DE,Germany
"Marmorpalais,Potsdam","Marmorpalais, Germany",Germany,1,,,,52.4128011,13.0697772,True,DE,Germany
Wolfenbuttel,"Wolfenbuttel, Germany","wolfenbuttel, germany",1,,,,52.1625283,10.5348215,True,DE,Germany
Stettin,"Stettin, Germany","stettin, germany",1,,,,53.4296809,14.5929127,True,DE,Germany
Charlottenburg,"Charlottenburg, Germany","charlottenburg, germany",1,,,,52.5050484,13.3045162,True,DE,Germany
"Oatlands Park,Weybridge,Surrey,England",,,1,,,,51.3753412,-0.4422764,True,GB,England
Prenzlau,"Prenzlau, Germany","prenzlau, germany",1,,,,53.3167,13.866575,True,DE,Germany
"Oraniensaal,The Hague","Oraniensaal, Netherlands","oraniensaal, netherlands",1,,,,52.0799838,4.3113461,True,NL,Netherlands
"Near Borga,Finland,Finland",,,1,,,,63.2467777,25.9209164,True,FI,Finland
Tiflis,"Tiflis, Russia","tiflis, russia",1,,,,41.6934591,44.8014495,True,NONE,
Pembroke Castle,"Pembroke Castle, England",England,1,,,,51.6772486,-4.9207686,True,GB,England
Berkhamsted,"Berkhamsted, England","berkhamsted, england, England",1,,,,51.7607271,-0.5652554,True,GB,England
"Kussnacht,Switzerland",,,1,,,,47.08385,8.4386308,True,CH,Switzerland
Laeken,"Laeken, Belgium","laeken, belgium",1,,,,50.883392,4.3487134,True,BE,Belgium
"Brussels,Belgium",,,1,,,,50.8465573,4.351697,True,BE,Belgium
"Near Brussels,Belgium",,,1,,,,50.8453219,4.368987,True,BE,Belgium
"Chateau de,Stuyvenberg","Chateau de, Belgium",Belgium,1,,,,50.8424632,4.4600106,True,BE,Belgium
